id,museu,gaveta,sp,pop,coletor,id.coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,morte,pele,cranio,esqueleto,sexo,dentes,classe,idade,peso,peso.morto,compr.total,compr.corpo,compr.cauda,tarso.c.unha,tarso.s.unha,orelha.int,orelha.ext,medido,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,size,shape,nas/gls,can/bam,pl/cb,bam/pl,sm/max,alpcor/mad,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
MN76983,MNHN,"14,03,2",Marmosops incanus,,labvert,REG 16,,Rio Bonito,RJ,,,,,,,,,ok,,,female,p3m4,6,adulto,55,,345,152,193,22,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN73359,MNHN,"14,03,2",Marmosops incanus,,"A. Delciellos, D. Loretto",PCHB 07,"PCH Braço, Lídico",Rio Claro,RJ,,,,,2009,5,15,,ok,ok,ok,male,p3m4,6,adulto,39,,317,128,189,24,23,25,26,TRUE,36,35.36,16.29,13.61,17.72,6.69,7.68,12.71,5.73,10.9,5.27,20.98,15.08,7.22,26.04,9.96,1.13,25.0315640741844,0.501131221719457,0.4525,0.48348623853211,0.593325791855204,0.51954242135367,0.478779840848806,0.382488479262673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN83139,MNHN,"14,03,2",Marmosops incanus,,,LBCE 17678,"Campus Fiocruz, Jacarepaguá",Rio de Janeiro,RJ,-43.402257,-22.93956,,,2012,7,26,,ok,ok,ok,male,p3m4,6,adulto,102,,351,171,180,17,15,22,,TRUE,40.2,40.09,18.91,13.85,20.93,6.39,8.36,13.4,6.85,11.71,6.13,23.1,16.84,7.36,29.74,11.4,1.47,28.9669415023402,0.522075330506361,0.470398009950249,0.523484201537148,0.576203542030432,0.506926406926407,0.437054631828979,0.383322125084062,Micoureus paraguayana na etiqueta do coletor (LBCE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN83140,MNHN,"14,03,2",Marmosops incanus,,,LBCE 17679,"Campus Fiocruz, Jacarepaguá",Rio de Janeiro,RJ,-43.402257,-22.93956,,,2012,7,26,,ok,ok,ok,male,p3m4,6,adulto,98,,376,173,203,22,20,25,,TRUE,41.58,41.99,20.27,13.91,21.54,5.98,9.01,13.53,6.65,11.64,6.48,23.88,16.82,7.43,31.59,12.19,1.62,30.0743179473783,0.512979280781138,0.487493987493988,0.556701030927835,0.568706834960705,0.487437185929648,0.441736028537455,0.38588160810383,Micoureus paraguayana na etiqueta do coletor (LBCE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN83141,MNHN,"14,03,2",Marmosops incanus,,,LBCE 17685,"Campus Fiocruz, Jacarepaguá",Rio de Janeiro,RJ,-43.402257,-22.93956,,,2012,7,27,,ok,ok,,female,p3m4,6,adulto,47,,300,129,171,19,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micoureus paraguayana na etiqueta do coletor (LBCE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN33514,MNHN,"14,03,2",Marmosops incanus,,,EDH 81 (PBR 12),"Parque Estadual Pedra Branca, Jacarepaguá",Rio de Janeiro,RJ,,,,,1993,9,30,02/out/1993,ok,ok,ok,female,p3m4,6,adulto,52.31,,334,143,191,18,17,25,,TRUE,37.06,36.28,17.62,13.04,18.77,6.38,7.11,12.52,5.96,11.29,5.38,20.76,14.72,6.97,26.69,10.5,1.44,26.0955091921963,0.517364939360529,0.475445223961144,0.476527900797166,0.572216097023153,0.54383429672447,0.473505434782609,0.393405769951293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN10295,MNHN,"14,03,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 28771,"SiPreste, Caixa do Meio, mata fechada ao pé de uma arvore",Rio de Janeiro,RJ,,,,,1945,10,17,23/out/1945,ok,ok,,female,p3m4 (p3 eclodindo),5,adulto,45,,332,145,187,20,18,21,27,TRUE,36.75,35.78,16.65,13.39,18.38,6.25,7.3,12.19,6.57,11.22,5.57,20.56,14.85,7.12,26.93,9.59,1.25,25.644422395523,0.51369480156512,0.453061224489796,0.496434937611408,0.574622694242594,0.545719844357977,0.479461279461279,0.356108429261047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN10293,MNHN,"14,03,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 16662,"Tijuca, Trapicheiro, na mata fechada junto a uma pedra",Rio de Janeiro,RJ,-43.283333,-22.883333,460,,1944,8,24,27/ago/1944,ok,parcial,,male,,,adulto,85,,372,157,215,22,20,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,crânio quebrado e deformado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN10296,MNHN,"14,03,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 16974,"Tijuca, Trapicheiro, na mata fechada junto a uma pedra",Rio de Janeiro,RJ,-43.283333,-22.883333,460,,1945,7,20,24/jul/1945,ok,parcial,,male,p3m4,6,adulto,75,,337,137,200,16,15,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,crânio quebrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN10294,MNHN,"14,03,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 16979,"Tijuca, Trapicheiro, na mata fechada junto a uma pedra",Rio de Janeiro,RJ,-43.283333,-22.883333,460,,1945,7,26,13/ago/1945,ok,ok,,male,p3m4,6,adulto,82,,379,157,222,23,22,23,28,TRUE,41.1,40.98,19.5,13.77,20.85,6.21,8.35,13.13,5.74,11.2,6.05,22.53,16.01,7.16,30.84,,,29.2306859310554,0.508784773060029,0.474452554744526,0.540178571428571,0.549780380673499,0.497114957833999,0.447220487195503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN10306,MNHN,"14,03,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 16989,"Tijuca, Trapicheiro, na mata fechada próximo do rio",Rio de Janeiro,RJ,-43.283333,-22.883333,460,,1945,8,5,16/ago/1945,ok,ok,,female,p3m4,6,adulto,33,,315,130,185,21,20,20,24,TRUE,34.56,33.57,16.49,12.48,,5.89,6.81,11.84,,10.45,5,,14.09,6.87,24.96,9.69,1.18,,,0.477141203703704,0.478468899521531,,,0.487579843860894,0.388221153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN72740,MNHN,"14,03,2",Marmosops incanus,,"F. Pessôa, T. Modesto",ITA 7,"Pirapetinga, Minas Gerais (etiqueta do coletor)",Santo Antônio de Pádua,RJ,-42.200664,-21.603868,,,2009,6,6,,ok,ok,ok,male,p3m4 (p3 eclodindo),5,adulto,55,,320,130,190,20,,,,TRUE,39.4,38.48,19.34,13.16,19.06,6.88,7.94,13.18,6.72,11.62,6,22.42,15.9,7.4,28.83,11.19,1.2,27.0818906282408,0.495322245322245,0.490862944162437,0.516351118760757,0.582640332640333,0.51828724353256,0.465408805031447,0.388137356919875,localidades diferentes das etiquetas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN72743,MNHN,"14,03,2",Marmosops incanus,,"F. Pessôa, T. Modesto",ITA 32,,Santo Antônio de Pádua,RJ,-42.202778,-21.606377,,,2009,6,7,,,ok,ok,,dp3m4 (m4 eclodindo),4,subadulto,,,,,,,,,,TRUE,33.19,32.2,15.38,12.81,16.97,6.85,7.19,12.04,5.18,11.29,4.86,,,,,,,23.375927789074,0.527018633540373,0.463392588128955,0.430469441984057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN72717,MNHN,"14,03,2",Marmosops incanus,,"F. Pessôa, T. Modesto",ITA 35,,Santo Antônio de Pádua,RJ,-42.200045,-21.605482,,,2009,6,6,,,ok,,,p3m4,6,adulto,,,,,,,,,,TRUE,39.26,38.43,18.56,13.38,18.87,6.51,7.62,13.18,6.27,11.62,5.66,22.51,16.23,7.56,28.68,11.05,1.32,26.9290567974446,0.491022638563622,0.472745797249108,0.487091222030981,0.585740307051782,0.516215015548645,0.465804066543438,0.385285913528591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69881,MNHN,"14,03,2",Marmosops incanus,,,,,São Francisco do Itabapoana,RJ,,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emprestado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69882,MNHN,"14,03,2",Marmosops incanus,,,,,São Francisco do Itabapoana,RJ,,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emprestado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69884,MNHN,"14,03,2",Marmosops incanus,,,,,São Francisco do Itabapoana,RJ,,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emprestado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69885,MNHN,"14,03,2",Marmosops incanus,,,,,São Francisco do Itabapoana,RJ,,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emprestado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69887,MNHN,"14,03,2",Marmosops incanus,,,,,São Francisco do Itabapoana,RJ,,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emprestado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN5748,MNHN,"14,03,3",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 4820,"Fazenda Tenente, mato fechado seco",São João Marcos,RJ,,,,,1938,12,3,,,ok,parcial,male,p3m4,6,adulto,80,,360,160,200,25,,30,30,TRUE,41.74,40.87,20.06,13.57,19.88,6.17,8.05,13.22,6.85,11.17,6.74,23.74,16.5,7.34,30.37,12.33,1.23,28.5043084462683,0.486420357230242,0.480594154288452,0.603401969561325,0.580866160998287,0.470513900589722,0.444848484848485,0.40599275600922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN69754,MNHN,"14,03,3",Marmosops incanus,,"I. A. Oliveira, V. P. Firme",VPF 290,"Pirineus, Reserva Biológica Macaé de Cima",Silva Jardim,RJ,-42.5,-22.433333,900,,1999,8,13,,ok,parcial,ok,male,p3m4,6,adulto,52,,320,133,187,25,25,21.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,crânio muito quebrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN29420,MNHN,"14,03,3",Marmosops incanus,,Smithsonian,PA 30,"Reserva Biológica de Poço das Antas, mata secundária “Portuense”",Silva Jardim,RJ,-42.28,-22.55,,,1988,2,28,,ok,ok,,male,dp3m4 (m4 eclodindo),4,subadulto,31,,276,114,162,26,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
