id,museu,sp,pop,coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,sexo,dentes,classe,idade,peso.morto,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
4063,UFMG,Marmosops incanus,Mariana,Kátia Regina da Silva,"Mina Fábrica Nova, trilha Santa Rita",Mariana,MG,-43.435,-20.2125,,,2011,9,7,male,p3m4,6,adulto,91,42.9,42.22,21.76,14.48,21.47,6.13,8.07,13.86,7.17,11.91,6.1,23.94,16.99,7.08,31.75,13.62,1.46,Capturado em gaiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 2429,PUC-Minas,Marmosops incanus,Mariana,Kátia Regina da Silva,,Mariana,MG,,,,,2011,8,17,male,p3m4,6,adulto,43,38.18,37.07,,13.93,18.52,6.4,7.18,12.78,6.82,11.27,5.61,21.64,16.02,7.13,27.79,11.4,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 2840,PUC-Minas,Marmosops incanus,Mariana,Kátia Regina da Silva,,Mariana,MG,-43.438744,-20.188291,939,,2012,2,2,female,p3m4,6,adulto,60,39.28,38.24,19.98,13.91,20.13,6.2,7.59,12.93,6.8,11.65,5.8,21.82,15.77,7.04,28.65,12.04,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,UFMG,Marmosops incanus,Rio Doce,E. L. Sábato,Parque Estadual do Rio Doce,Marliéria,MG,-42.65,-19.716667,,TRUE,1986,7,14,male,p3m4,6,adulto,,41.94,41.58,21.26,13.57,20.21,5.97,7.96,13.44,6.77,11.55,5.94,23.31,16.98,7.54,31.2,12.05,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,UFMG,Marmosops incanus,Rio Doce,L. M. S. Aguiar,Parque Estadual do Rio Doce,Marliéria,MG,-42.65,-19.716667,,TRUE,,,,male,p3m4 (p3 eclodindo),5,adulto,,37,35.94,18.47,13.79,18.27,6.67,7.49,12.79,5.99,10.96,5.5,21.12,15.58,7.66,26.8,10.63,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,UFMG,Marmosops incanus,Rio Doce,J. R. S.,Parque Estadual do Rio Doce,Marliéria,MG,-42.65,-19.716667,,TRUE,1986,2,27,male,dp3m4 (m4 eclodindo),4,subadulto,30,34.88,,16.45,13.29,17.47,6.66,7.02,12.35,5.7,10.72,5.14,19.47,15.01,7.36,24.97,10.15,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,UFMG,Marmosops incanus,Rio Doce,J. R. S.,Parque Estadual do Rio Doce,Marliéria,MG,-42.65,-19.716667,,TRUE,1985,12,20,male,p3m4,6,adulto,130,45.67,45.73,23.92,14.19,23.94,6.78,8.86,14.47,7.48,12.66,7.66,25.96,17.54,7.6,34.51,15.22,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,UFMG,Marmosops incanus,Rio Doce,J. R. S.,Parque Estadual do Rio Doce,Marliéria,MG,-42.65,-19.716667,,TRUE,1986,2,28,female,p3m4,6,adulto,70,40.41,40.11,20.1,13.72,20.91,6.57,7.89,13.18,7.23,12.09,6.14,22.99,16.22,7.59,30.14,12.98,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,UFMG,Marmosops incanus,Rio Doce,Raquel Moura,Parque Estadual do Rio Doce; 13 km E Marliéira,Marliéria,MG,-42.65,-19.716667,300,TRUE,1996,7,27,male,p3m4,6,adulto,75,40.2,40.41,20.07,14.31,20.34,6.62,8.03,13.23,6.81,12.12,6,23.31,16.83,7.25,30.06,12.54,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,UFMG,Marmosops incanus,Rio Doce,Leonora Pires Costa,Parque Estadual do Rio Doce; 13 km E Marliéira,Marliéria,MG,-42.65,-19.716667,300,FALSE,1996,7,20,male,p3m4,6,adulto,64,40.91,40.66,19.4,14.17,20.43,6.3,7.59,13.59,7.13,11.87,6.13,23.41,16.89,7.4,30.59,12.03,1.33,"Usei as coordenadas do UFES2600. Coordenadas originais estranhas:  -43.383333 , -18.15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
