population,n,extent,integr,year.min,year.max,temp.interval,lon,lat,gls.mean,gls.var,cb.mean,cb.var,nas.mean,nas.var,bbc.mean,bbc.var,zb.mean,zb.var,ic.mean,ic.var,lbasi.mean,lbasi.var,can.mean,can.var,pl.mean,pl.var,max.mean,max.var,sm.mean,sm.var,mad.mean,mad.var,alpcor.mean,alpcor.var,bioclim,brt,domain,glm,mahal,maxent,rf,distance
Forno Grande,6,6.012632589308581,0.9462745881684591,2013,2014,1,-41.0838894,-20.5166672,0.4813073579660284,0.17463218617583404,0.6619980036102295,0.1619818160788404,-0.02946672551681257,0.19780702700158,0.0279488856070179,0.07130415294485354,-0.3074877413198546,0.04911366287730901,-0.06997182598601359,0.022955244423873488,0.013958157813310427,0.016831073529725966,-0.054376038048607675,0.05974911382358906,0.37301691962760786,0.03994645928109254,0.2796386356101374,0.06922856017473594,0.13581032143136365,0.05156371011012515,0.3235191198253705,0.16107971094165502,-0.11116053579183306,0.22213774169213749,0.12371134176772713,1,0.768232019441028,0.9765135699373695,0.9495533727711516,0.9805449923820746,1,50184.54877896461
Fragmentos,10,9.201371745101214,1.5541579816853142,1999,2002,3,-42.964722,-22.563333,-0.1638044985885237,0.19031266725082555,-0.19856370328446774,0.2409823065975558,-0.2908712190858654,0.49328809308429183,0.03403925010623638,0.11002727394018233,0.10173319462208605,0.07299363123135234,0.3026924764282246,0.08266135817346118,0.1478788954966894,0.04457825496219832,0.20373198440803286,0.03183856389460408,-0.09419299089570185,0.19461575391034158,-0.3858379981246474,0.21065461327034032,-0.11184435580810781,0.05821042211505756,-0.34971410933805164,0.08312026485351459,-0.24108464402781377,0.09537832493761712,0.23367696602463542,0.9829693448214908,0.9577508059552783,0.8674321503131524,0.9436451519778808,0.7267887907810237,0.9995,14236.864872956769
Grão Mogol,0,NA,NA,1989,1989,0,-42.889722,-16.559444,-1.77070942721355,NA,-1.66001186828932,NA,-1.0610066173311,NA,-0.139758459701845,NA,0.848153119917527,NA,-0.331774927247625,NA,0.28885229916915,NA,-0.0327830520512702,NA,NA,NA,-0.82575375267561,NA,-0.395659937243807,NA,-1.64687356880151,NA,NA,NA,0,0.8767782007672568,0.7904920238132005,0.569937369519833,0.9108954698714827,0.4818657558296339,0.9564000244140625,181803.4310715767
Guarapari,3,9.727978803746298,3.8944520663717195,2014,2015,1,-40.5444444444444,-20.5786111111111,0.34824443122226395,0.3971191611061351,0.3634057796063577,0.21741981773563596,0.3136140261625257,0.0015010734780136659,-0.27215511055244934,0.10977411782559741,-0.21388282043973686,0.08986238199130742,-0.20357794286432945,0.04408731765313622,-0.2983796925473173,0.09162208574369028,0.011509906423718873,0.02955528115900511,0.23314999172896472,0.09052384651046881,-0.008941747368701005,0.19946749244428674,-0.17294430340048803,0.137114101902964,0.12058279848501753,0.08579314244491072,-0.040596103168206006,0.13043000262904242,0.3711340163932089,1,0.9304083908770566,0.9802974947807933,0.9177418844645531,0.9738377319467325,1,6468.063851771856
Ibitipoca,1,NA,NA,1988,1988,0,-43.883333,-21.691667,-0.333114674945513,NA,-0.233727027328584,NA,0.0926979737021369,NA,0.328177657963458,NA,0.181661176486703,NA,0.0251368950707871,NA,0.169672119213891,NA,-0.118451292585726,NA,-0.283388117367668,NA,-0.037430708347987,NA,0.195759034506295,NA,-0.19326229081177,NA,0.330583543941035,NA,0.18556699928663195,1,0.8182890030175256,0.9973903966597077,1,0.888201337377005,1,132517.5083698794
Ilha Grande,6,5.968245499609062,1.0686468018079762,1976,2014,38,-44.188679,-23.1633277,-0.10447631357310062,0.023172499260488266,-0.10134718602252477,0.06435561143749159,0.0835546523538036,0.031798673350321986,0.021083404198489503,0.19985413968379256,0.04408607421956865,0.01653378620705444,-0.1222944051701457,0.06043817090165156,0.019972462262449496,0.09876327106702412,-0.270086419550507,0.01679050419458506,-0.17042016574727234,0.07270857621292547,-0.309861961188934,0.08806978548662889,-0.08181541835702319,0.021924399434154373,-0.38067645537356826,0.07707864152894714,-0.4007796744500025,0.057174804952903516,0.02061855621879015,0.9660388760820828,0.7143028890552171,0.5232254697286013,0.9470535915482674,0.5076760004609124,1,3323.8805087866986
Intervales,4,3.343694629794428,0.29651981236665836,1988,1988,0,-48.4166666667,-24.3333333333,0.0535770634818904,0.1797793042005476,-0.0418872336823242,0.0532508627069892,-0.31731708573276,0.16923536794074012,0.4081766244601544,0.012711521971503305,0.06362150047710395,0.01570999192573102,0.01379708958587416,0.009309588445656257,0.19013160528885664,0.027281760404603797,0.1444570686833483,0.01316653870173254,0.20322103853575935,0.18668980973565824,-0.15404061304313837,0.04295381754898923,0.2195408430582163,0.013010249431427964,-0.09805880558345868,0.06578498196011998,-0.17126336625281147,0.1057354972461248,0.02061855621879015,1,0.9139946910200303,0.9981732776617954,1,0.9796704070644054,1,4.2014208919189674e-4
Irapé,4,10.6881361522384,4.585713831346512,2006,2006,0,-42.574983,-16.737511,0.26379908674436076,0.4828667571642195,0.16718400132218925,0.37043701036715193,0.1286028706840955,0.22412706810472754,0.008722335884624247,0.17789061329849654,-0.08027493720732173,0.11018120606685347,-0.2933108855373801,0.08058469777531935,0.1550048698983117,0.03526036364843101,0.10789953348327602,0.044455448102377206,0.11754045392305926,0.17709207632880725,0.3040508823429845,0.06033154089414694,-0.031176698803005026,0.051353842546487914,0.2758760743908065,0.07134577541915026,-0.05757505727768579,0.25815399735712435,0,0.5277499254743099,0.7914744757783466,0.061586638830897704,1,0.3017884243140301,0.9687999877929687,219988.39289480547
Itacaré,1,NA,NA,1999,1999,0,-39.086944,-14.343611,0.839086039531608,NA,0.531669910972326,NA,0.721091704792578,NA,-0.343441538543528,NA,-0.362087598818185,NA,-0.209225410429559,NA,-0.745987409725068,NA,-0.146048296566206,NA,0.552874425056011,NA,0.231162862505407,NA,-0.621585504763992,NA,0.944854107638299,NA,0.820340624408205,NA,0.05154639166072193,0.9983971392648155,0.38565766223212117,0.8992693110647182,0.9609705106393424,0.8676222035689571,1,9026.281002405407
Jaíba,6,6.841156823558653,1.15105107556094,1990,1992,2,-43.760278,-15.068681,-0.8853931929155652,0.07161958290591944,-0.632712622233246,0.12538179175858197,-0.5661753605015665,0.12384749713351896,-0.355736347012376,0.16506029256666202,0.27184246493266184,0.04320364054569079,-0.6202198094396217,0.04554252987797125,-0.07181521463017701,0.01927966767253827,-0.037782338503197024,0.019356264411731064,-0.6099858640597567,0.008946975766052696,-0.35625429303726264,0.07354893796978779,-0.24776927399148774,0.01820129444287982,-0.49170061036147117,0.04999058099907742,-0.5871591141710981,0.4887455592686401,0,0.011220196400669902,0.7232586703145845,0.009133611691022964,0.7795151974348127,0.04709753362419609,0,1101.717043493564
